2025-09-10 00:08:54 | DEBUG | matplotlib | matplotlib data path: C:\Users\karme\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\mpl-data
2025-09-10 00:08:54 | DEBUG | matplotlib | CONFIGDIR=C:\Users\karme\.matplotlib
2025-09-10 00:08:54 | DEBUG | matplotlib | interactive is False
2025-09-10 00:08:54 | DEBUG | matplotlib | platform is win32
2025-09-10 00:08:54 | DEBUG | matplotlib | CACHEDIR=C:\Users\karme\.matplotlib
2025-09-10 00:08:54 | DEBUG | matplotlib.font_manager | Using fontManager instance from C:\Users\karme\.matplotlib\fontlist-v390.json
2025-09-10 00:10:08 | INFO | root | [theme] Applying theme: Default
2025-09-10 00:17:10 | INFO | root | [theme] Applying theme: Default
2025-09-10 00:17:12 | INFO | root | [theme] Applying theme: Default
2025-09-10 00:17:34 | INFO | root | [theme] Applying theme: Default
2025-09-10 00:17:35 | DEBUG | matplotlib.pyplot | Loaded backend Agg version v2.2.
2025-09-10 00:17:35 | DEBUG | matplotlib.font_manager | findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-09-10 00:17:35 | DEBUG | matplotlib.font_manager | findfont: score(FontEntry(fname='C:\\Users\\karme\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-10 00:17:35 | DEBUG | matplotlib.font_manager | findfont: score(FontEntry(fname='C:\\Users\\karme\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-10 00:17:35 | DEBUG | matplotlib.font_manager | findfont: score(FontEntry(fname='C:\\Users\\karme\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-10 00:17:35 | DEBUG | matplotlib.font_manager | findfont: score(FontEntry(fname='C:\\Users\\karme\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-10 00:17:35 | DEBUG | matplotlib.font_manager | findfont: score(FontEntry(fname='C:\\Users\\karme\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
